name,phone,address,rating,details,website
"D J Beardsley & Sons, Inc.",(585) 493-1049,150 W Mill St,,Electric Equipment Repair & ServiceLighting ContractorsElectricians,https://djbeardsley.com/
"New Creation Electric, LLC",(585) 469-9641,1541 McVean Rd,,Electricians,https://caledonianyelectrician.com/
D'Agostino Electric & Construction,(585) 208-3082,2302 Telephone Rd,,ElectriciansGenerators,http://dagostinoelectricconstruction.localsearch.com/
Gottogo Electric,(585) 768-2650,7865 E Main Rd,,ElectriciansMajor AppliancesConsumer Electronics,https://www.gottogoelectric.com/
Pcore Electric Inc,(585) 768-1200,135 Gilbert St,(1),Electric Equipment & Supplies-Wholesale & ManufacturersConsumer Electronics,https://www.hubbell.com/hubbellpowersystems/en/office-and-plants/leroy-new-york
Doug Lord Auto,(585) 226-8240,1839 Lakeville Rd,,Automobile Electric ServiceAuto Repair & ServiceAutomobile Parts & Supplies,http://douglordauto.localsearch.com/
Keeler's PSI,(585) 468-2028,,,Automobile Body Repairing & PaintingAutomobile Air Conditioning Equipment-Service & Repair,http://keelerspsi.localsearch.com/
Victory Electric Corp,(585) 538-6555,,,Electric Companies,http://yellowpages.com/caledonia-ny/mip/applied-energy-solutions-17559315
Driscoll's Electric,(585) 226-2656,188 W Main St,,Electricians,https://www.driscollelectric.net/
Leroy Electric,(585) 768-2620,8506 Lake Street Rd,,Electricians,http://leroyelectric.localsearch.com/
Pricechex Inc,(585) 243-2660,PO Box 42,,Security Control Systems & MonitoringElectriciansSecurity Equipment & Systems Consultants,http://pricechexinc.localsearch.com/
Hiler Dan,(585) 768-8777,17 Lake St,,Electricians,http://hilerdan.localsearch.com/
Humphrey Electric & Security,(585) 768-6725,35 W Main St,,Electricians,http://humphreyelectricsecurity.localsearch.com/
Clyde Schutt,(585) 768-8220,6958 W Main Rd,,Electricians,http://clydeschutt.localsearch.com/
Sovocool & Schutt Electric & Water Systems,(585) 768-8220,6958 W Main Rd,,Electricians,http://sovocoolschuttelectricwatersystems.localsearch.com/
Upstate Electrical Tech,(585) 388-3970,1658 Interstate Dr,,Electricians,https://www.uetcontrols.com/
A & E Electric,(585) 447-1356,,,Electrical Power Systems-MaintenanceElectriciansElectric Contractors-Commercial & Industrial,http://aeelectricny.localsearch.com/
Strobel's Auto Electric,(585) 584-3187,10407 Lake St,(1),Automobile Electric ServiceAutomotive Alternators & Generators,http://strobelsautoelectric.localsearch.com/
Colley Electric,(585) 737-9852,58 North St,(1),Electricians,http://colleyelectric.localsearch.com/
Boyd Electric,(585) 768-7923,6847 Junction Rd,,Electricians,https://members.geneseeny.com/list/member/boyd-electric-3807
RJN Electrical Services,(585) 343-6700,6614 Main Rd,,Electricians,https://rjnelectrical.com/
Isaac Heating & Air Conditioning,(585) 804-5079,2760 Morgan Dr Ste 2,,FireplacesAir Conditioning Equipment & SystemsElectricians,https://www.isaacheating.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Avon-NY
Electrical Wireworks Inc,(585) 202-1994,3420 Avon Rd,,Electricians,http://electricalwireworksinc.localsearch.com/
Saari Services,(585) 297-2174,9745 Clipnock Rd,,Altering & Remodeling ContractorsConstruction EstimatesElectricians,http://saariservices.localsearch.com/
Gve Inc,(585) 243-3222,94 Main St Apt 103,,Electricians,http://gveinc.localsearch.com/
Mike Zaso Plumbing & Electric,(585) 243-4562,PO Box 64,,ElectriciansPlumbers,http://mikezasoplumbingelectric.localsearch.com/
Frank Radesi Electric,(585) 382-3389,2969 Cuylerville Rd,,Electricians,http://frankradesielectric.localsearch.com/
Afr Electrical Service,(585) 584-9210,5680 Webster Rd,,Electricians,http://afrelectricalservice.localsearch.com/
Livingston Lighting & Power,(585) 889-6020,119 River Rd,,Lighting Systems & EquipmentElectricians,http://www.pandcg.com/
Doctor Electric,(585) 428-9198,117 Stottle Rd,(1),Electricians,http://www.doctorelectricservices.com/
